Germany, Exposure to risk (period 1x1), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1990           0            436758.00       460120.67       896878.67
  1990           1            437410.67       460308.50       897719.17
  1990           2            436402.50       460914.50       897317.00
  1990           3            427326.67       450317.83       877644.50
  1990           4            416560.83       437724.33       854285.17
  1990           5            407721.17       429154.50       836875.67
  1990           6            408669.00       430214.33       838883.33
  1990           7            416432.67       438471.83       854904.50
  1990           8            421887.67       443277.17       865164.83
  1990           9            423300.50       443535.33       866835.83
  1990          10            412809.83       433291.83       846101.67
  1990          11            398341.00       419354.00       817695.00
  1990          12            394103.83       415734.33       809838.17
  1990          13            389959.00       410996.83       800955.83
  1990          14            381681.50       402560.50       784242.00
  1990          15            381181.00       402727.17       783908.17
  1990          16            391196.00       412381.83       803577.83
  1990          17            418658.00       440394.17       859052.17
  1990          18            472301.83       496332.00       968633.83
  1990          19            517947.00       541789.17      1059736.17
  1990          20            559992.83       583525.17      1143518.00
  1990          21            603833.50       630103.83      1233937.33
  1990          22            633384.17       663289.83      1296674.00
  1990          23            656301.50       690840.83      1347142.33
  1990          24            669498.17       710162.17      1379660.33
  1990          25            679548.17       725072.17      1404620.33
  1990          26            685988.17       732869.17      1418857.33
  1990          27            674734.83       719811.83      1394546.67
  1990          28            662908.83       702520.83      1365429.67
  1990          29            650728.50       687162.00      1337890.50
  1990          30            632402.33       669260.17      1301662.50
  1990          31            607980.00       644965.83      1252945.83
  1990          32            588355.67       624552.83      1212908.50
  1990          33            579135.50       613094.50      1192230.00
  1990          34            567036.83       597567.17      1164604.00
  1990          35            559464.17       584084.00      1143548.17
  1990          36            553596.00       571557.33      1125153.33
  1990          37            550476.17       565295.50      1115771.67
  1990          38            548405.83       563416.17      1111822.00
  1990          39            548068.50       564249.00      1112317.50
  1990          40            542778.00       562363.00      1105141.00
  1990          41            513996.67       536971.83      1050968.50
  1990          42            481729.33       504251.50       985980.83
  1990          43            443331.17       463647.50       906978.67
  1990          44            395784.17       411617.50       807401.67
  1990          45            439416.17       454630.50       894046.67
  1990          46            507729.33       528511.00      1036240.34
  1990          47            505400.83       528336.50      1033737.34
  1990          48            553767.17       577481.00      1131248.17
  1990          49            627792.33       651651.33      1279443.67
  1990          50            643725.67       665716.83      1309442.50
  1990          51            620607.67       639502.83      1260110.50
  1990          52            583917.83       599620.50      1183538.33
  1990          53            563225.00       574605.50      1137830.50
  1990          54            553925.00       561003.50      1114928.50
  1990          55            531938.33       536992.17      1068930.50
  1990          56            468733.00       470571.33       939304.33
  1990          57            424082.00       420648.67       844730.67
  1990          58            433010.50       423870.00       856880.50
  1990          59            455559.83       439456.67       895016.50
  1990          60            466853.83       443093.50       909947.33
  1990          61            464918.33       433382.50       898300.83
  1990          62            459089.67       406117.00       865206.67
  1990          63            458826.33       367043.83       825870.17
  1990          64            472549.00       343172.83       815721.83
  1990          65            471359.33       311202.50       782561.83
  1990          66            461706.17       283830.17       745536.33
  1990          67            469919.00       285098.00       755017.00
  1990          68            491993.83       292997.50       784991.33
  1990          69            501226.00       287337.33       788563.33
  1990          70            434123.17       243383.50       677506.67
  1990          71            303414.33       168499.50       471913.83
  1990          72            232113.00       127066.17       359179.17
  1990          73            235817.33       126395.83       362213.17
  1990          74            282775.50       146091.17       428866.67
  1990          75            359878.83       179824.17       539703.00
  1990          76            395013.33       194008.33       589021.67
  1990          77            384398.00       186245.17       570643.16
  1990          78            359134.67       169311.84       528446.50
  1990          79            334714.83       151354.00       486068.83
  1990          80            320524.43       138491.01       459015.43
  1990          81            296085.89       124035.71       420121.60
  1990          82            265080.63       108550.44       373631.07
  1990          83            234399.93        93381.76       327781.69
  1990          84            201012.74        78950.29       279963.02
  1990          85            170458.41        66392.61       236851.03
  1990          86            143820.04        53222.11       197042.15
  1990          87            120207.39        42165.83       162373.22
  1990          88             99069.61        32982.30       132051.91
  1990          89             77270.13        24386.34       101656.46
  1990          90             59133.47        17541.40        76674.86
  1990          91             45251.68        12495.39        57747.06
  1990          92             33563.19         8535.37        42098.56
  1990          93             24285.93         5791.73        30077.66
  1990          94             17044.56         3850.15        20894.70
  1990          95             11486.38         2484.67        13971.05
  1990          96              7550.35         1661.67         9212.02
  1990          97              4757.34         1076.50         5833.84
  1990          98              3043.51          705.00         3748.51
  1990          99              1935.33          484.67         2420.00
  1990         100              1016.33          230.67         1247.00
  1990         101               514.67          117.00          631.67
  1990         102               269.83           62.83          332.67
  1990         103               155.83           32.50          188.33
  1990         104                87.67           18.17          105.83
  1990         105                45.33            8.17           53.50
  1990         106                19.00            5.17           24.17
  1990         107                 9.50            2.67           12.17
  1990         108                 7.33            0.83            8.17
  1990         109                 9.83            2.17           12.00
  1990         110+                0.50            0.17            0.67
  1991           0            424438.33       447581.00       872019.33
  1991           1            440320.50       463326.00       903646.50
  1991           2            442195.50       465308.00       907503.50
  1991           3            441337.00       466106.00       907443.00
  1991           4            432308.17       455610.17       887918.33
  1991           5            421315.00       442760.67       864075.67
  1991           6            412106.50       433631.67       845738.17
  1991           7            412958.67       434799.50       847758.17
  1991           8            420759.33       442998.50       863757.83
  1991           9            426465.67       447986.67       874452.33
  1991          10            427757.00       448101.17       875858.17
  1991          11            417353.00       437851.50       855204.50
  1991          12            402589.83       423909.50       826499.33
  1991          13            398134.50       420148.00       818282.50
  1991          14            394405.83       415643.17       810049.00
  1991          15            386579.50       407905.83       794485.33
  1991          16            386215.83       407838.00       794053.83
  1991          17            396112.33       416519.17       812631.50
  1991          18            426028.33       446759.83       872788.17
  1991          19            481255.33       503581.67       984837.00
  1991          20            527367.33       550164.33      1077531.67
  1991          21            567960.83       592872.33      1160833.17
  1991          22            611158.67       641290.33      1252449.00
  1991          23            640260.00       674325.00      1314585.00
  1991          24            662595.50       700632.00      1363227.50
  1991          25            675246.50       719636.33      1394882.83
  1991          26            685202.83       733888.17      1419091.00
  1991          27            691103.67       740400.33      1431504.00
  1991          28            679930.83       726727.17      1406658.00
  1991          29            667662.50       709215.00      1376877.50
  1991          30            655522.00       694100.00      1349622.00
  1991          31            637121.33       675750.83      1312872.17
  1991          32            612306.83       650679.67      1262986.50
  1991          33            592536.83       629934.00      1222470.83
  1991          34            582968.00       618316.17      1201284.17
  1991          35            570746.33       602394.83      1173141.17
  1991          36            562861.50       588380.00      1151241.50
  1991          37            556412.67       575028.83      1131441.50
  1991          38            553049.67       568794.33      1121844.00
  1991          39            550949.67       566634.00      1117583.67
  1991          40            550175.00       566794.33      1116969.33
  1991          41            544595.83       564582.50      1109178.33
  1991          42            515347.67       538345.00      1053692.67
  1991          43            483028.00       505345.83       988373.83
  1991          44            443828.17       463775.50       907603.67
  1991          45            396867.83       412214.83       809082.67
  1991          46            439660.67       454254.50       893915.17
  1991          47            507677.33       527219.33      1034896.67
  1991          48            505858.17       527734.17      1033592.33
  1991          49            553696.00       575494.83      1129190.83
  1991          50            627931.83       649245.67      1277177.50
  1991          51            643564.33       662682.83      1306247.17
  1991          52            620579.83       636585.17      1257165.00
  1991          53            583501.17       596281.83      1179783.00
  1991          54            562686.67       570884.17      1133570.83
  1991          55            553078.17       556913.67      1109991.83
  1991          56            530506.33       531868.33      1062374.67
  1991          57            467800.33       466073.33       933873.67
  1991          58            422946.83       416194.17       839141.00
  1991          59            431728.83       418827.83       850556.67
  1991          60            453583.17       433018.50       886601.67
  1991          61            464644.00       436026.67       900670.67
  1991          62            462201.50       425901.83       888103.33
  1991          63            456072.67       398592.67       854665.33
  1991          64            455313.50       359653.83       814967.33
  1991          65            468358.50       335304.00       803662.50
  1991          66            466332.17       303380.50       769712.67
  1991          67            456477.17       276051.00       732528.17
  1991          68            463591.67       276575.33       740167.00
  1991          69            484240.67       283203.17       767443.83
  1991          70            492366.50       276739.83       769106.33
  1991          71            424666.33       233193.67       657860.00
  1991          72            297170.50       161200.50       458371.00
  1991          73            226271.17       120831.33       347102.50
  1991          74            229001.50       119703.83       348705.33
  1991          75            273821.50       137585.17       411406.67
  1991          76            346632.33       168246.83       514879.17
  1991          77            378821.83       180266.00       559087.83
  1991          78            366579.83       171493.83       538073.67
  1991          79            340048.83       154473.50       494522.33
  1991          80            315063.99       135707.24       450771.23
  1991          81            298250.53       123693.29       421943.82
  1991          82            272748.15       109386.99       382135.14
  1991          83            241675.23        94543.06       336218.29
  1991          84            211227.03        80143.87       291370.90
  1991          85            178623.17        66796.58       245419.75
  1991          86            149344.18        55224.41       204568.59
  1991          87            124052.14        43474.24       167526.38
  1991          88            101941.67        33865.80       135807.46
  1991          89             82408.38        25988.11       108396.50
  1991          90             63011.92        18794.98        81806.90
  1991          91             47227.26        13288.05        60515.31
  1991          92             35315.98         9270.88        44586.85
  1991          93             25613.00         6133.87        31746.87
  1991          94             18057.57         4068.06        22125.63
  1991          95             12327.54         2629.64        14957.19
  1991          96              8065.53         1652.33         9717.87
  1991          97              5188.68         1082.33         6271.02
  1991          98              3198.50          691.50         3890.00
  1991          99              2045.83          456.33         2502.17
  1991         100              1176.67          237.67         1414.33
  1991         101               623.00          125.00          748.00
  1991         102               291.50           60.83          352.33
  1991         103               145.33           32.83          178.17
  1991         104                85.83           16.33          102.17
  1991         105                50.67            8.83           59.50
  1991         106                23.50            4.33           27.83
  1991         107                 9.83            3.67           13.50
  1991         108                 6.17            1.50            7.67
  1991         109                 4.33            0.50            4.83
  1991         110+                1.50            0.00            1.50
  1992           0            400634.83       421603.33       822238.17
  1992           1            427804.67       450879.83       878684.50
  1992           2            444966.33       467953.50       912919.83
  1992           3            447159.17       470377.50       917536.67
  1992           4            446410.17       471230.00       917640.17
  1992           5            437237.17       460783.83       898021.00
  1992           6            425744.50       447393.33       873137.83
  1992           7            416410.33       437958.50       854368.83
  1992           8            417354.83       439361.00       856715.83
  1992           9            425135.50       447458.83       872594.33
  1992          10            430875.50       452488.00       883363.50
  1992          11            432090.50       452515.50       884606.00
  1992          12            421540.50       442139.83       863680.33
  1992          13            406799.50       428242.00       835041.50
  1992          14            402445.33       424632.33       827077.67
  1992          15            399224.33       420815.17       820039.50
  1992          16            391526.17       413636.00       805162.17
  1992          17            391318.67       413474.17       804792.83
  1992          18            403765.17       423947.83       827713.00
  1992          19            435657.17       456027.00       891684.17
  1992          20            491864.17       515663.33      1007527.50
  1992          21            536840.67       562830.00      1099670.67
  1992          22            576726.67       608701.17      1185427.83
  1992          23            619382.50       656376.00      1275758.50
  1992          24            647947.67       688712.00      1336659.67
  1992          25            669343.50       713853.67      1383197.17
  1992          26            681592.50       731804.33      1413396.83
  1992          27            691230.17       744891.50      1436121.67
  1992          28            696936.33       750245.17      1447181.50
  1992          29            685432.83       735724.33      1421157.17
  1992          30            672973.17       718054.83      1391028.00
  1992          31            660557.00       701954.67      1362511.67
  1992          32            641943.67       683742.33      1325686.00
  1992          33            616842.00       657536.83      1274378.83
  1992          34            596589.17       636498.17      1233087.33
  1992          35            586720.50       624252.33      1210972.83
  1992          36            574278.83       608085.50      1182364.33
  1992          37            566193.50       593499.17      1159692.67
  1992          38            559324.00       579737.00      1139061.00
  1992          39            555635.33       572916.67      1128552.00
  1992          40            553262.83       570247.83      1123510.67
  1992          41            552147.83       569870.83      1122018.67
  1992          42            546469.83       567110.50      1113580.33
  1992          43            516845.00       540181.83      1057026.83
  1992          44            484003.33       506325.17       990328.50
  1992          45            444810.00       464457.83       909267.83
  1992          46            396869.83       411893.50       808763.33
  1992          47            439508.17       453372.00       892880.17
  1992          48            507488.00       525985.50      1033473.50
  1992          49            505378.17       525745.50      1031123.67
  1992          50            553452.67       573315.33      1126768.00
  1992          51            627450.00       646195.33      1273645.33
  1992          52            643066.83       659328.50      1302395.33
  1992          53            619845.17       632855.33      1252700.50
  1992          54            582700.33       592345.83      1175046.17
  1992          55            561674.00       566555.33      1128229.33
  1992          56            551640.83       551934.00      1103574.83
  1992          57            529189.83       526716.00      1055905.83
  1992          58            466122.00       460710.50       926832.50
  1992          59            421230.00       410829.17       832059.17
  1992          60            429542.83       412493.00       842035.83
  1992          61            451082.33       425907.17       876989.50
  1992          62            461804.83       428398.50       890203.33
  1992          63            459051.83       417926.33       876978.17
  1992          64            452529.50       390309.00       842838.50
  1992          65            451337.83       351534.17       802872.00
  1992          66            463496.00       327092.33       790588.33
  1992          67            461044.67       295277.17       756321.83
  1992          68            450411.83       267859.67       718271.50
  1992          69            456470.33       267554.00       724024.33
  1992          70            475712.83       273024.17       748737.00
  1992          71            482351.50       265671.83       748023.33
  1992          72            415837.33       223229.67       639067.00
  1992          73            289883.67       153418.67       443302.33
  1992          74            219773.33       114469.50       334242.83
  1992          75            221685.00       112665.00       334350.00
  1992          76            263860.33       128649.50       392509.83
  1992          77            332789.00       156550.50       489339.50
  1992          78            361864.33       166564.00       528428.33
  1992          79            347916.83       157070.17       504987.00
  1992          80            320634.69       139073.45       459708.14
  1992          81            294109.49       121719.74       415829.23
  1992          82            275672.86       109450.79       385123.65
  1992          83            249552.32        95688.66       345240.98
  1992          84            218513.56        81685.39       300198.95
  1992          85            188583.69        68194.87       256778.57
  1992          86            157265.00        55937.91       213202.91
  1992          87            129426.18        45380.24       174806.42
  1992          88            105723.81        35126.91       140850.72
  1992          89             85344.17        26875.13       112219.30
  1992          90             67680.88        20216.45        87897.33
  1992          91             50607.08        14278.15        64885.23
  1992          92             37200.10         9884.38        47084.48
  1992          93             27168.14         6713.21        33881.35
  1992          94             19232.17         4338.87        23571.03
  1992          95             13182.74         2801.23        15983.97
  1992          96              8789.04         1775.98        10565.02
  1992          97              5639.53         1109.00         6748.53
  1992          98              3519.52          709.00         4228.51
  1992          99              2123.33          451.00         2574.33
  1992         100              1241.33          234.33         1475.67
  1992         101               727.17          126.17          853.33
  1992         102               369.83           73.50          443.33
  1992         103               167.83           36.83          204.67
  1992         104                85.83           18.17          104.00
  1992         105                52.00            8.83           60.83
  1992         106                27.83            4.67           32.50
  1992         107                10.67            1.83           12.50
  1992         108                 5.17            1.33            6.50
  1992         109                 3.50            0.33            3.83
  1992         110+                2.17            0.00            2.17
  1993           0            392350.17       413115.67       805465.83
  1993           1            404328.67       425208.33       829537.00
  1993           2            431838.17       454730.33       886568.50
  1993           3            449144.50       472261.83       921406.33
  1993           4            451507.33       474708.33       926215.67
  1993           5            450735.83       475905.50       926641.33
  1993           6            441262.33       464930.50       906192.83
  1993           7            429573.50       451154.67       880728.17
  1993           8            420521.17       442131.17       862652.33
  1993           9            421446.00       443478.17       864924.17
  1993          10            429161.17       451574.33       880735.50
  1993          11            434785.33       456480.67       891266.00
  1993          12            435829.50       456287.50       892117.00
  1993          13            425267.50       445853.17       871120.67
  1993          14            410468.83       432022.33       842491.17
  1993          15            406669.33       429269.67       835939.00
  1993          16            403749.17       426417.17       830166.33
  1993          17            396152.67       419497.17       815649.83
  1993          18            398317.67       420696.67       819014.33
  1993          19            413210.67       432604.50       845815.17
  1993          20            445798.33       467381.33       913179.67
  1993          21            501034.50       527224.67      1028259.17
  1993          22            545387.83       577057.00      1122444.83
  1993          23            584739.67       622361.50      1207101.17
  1993          24            626669.33       669515.00      1296184.33
  1993          25            654341.67       700367.50      1354709.17
  1993          26            675237.67       724006.83      1399244.50
  1993          27            687273.00       741334.83      1428607.83
  1993          28            696505.17       753510.00      1450015.17
  1993          29            702091.50       757622.00      1459713.50
  1993          30            690374.67       742897.83      1433272.50
  1993          31            677631.50       723910.00      1401541.50
  1993          32            665184.33       708303.17      1373487.50
  1993          33            646257.67       689020.00      1335277.67
  1993          34            620924.50       662462.67      1283387.17
  1993          35            600376.50       640764.67      1241141.17
  1993          36            590203.33       628044.33      1218247.67
  1993          37            577527.17       611455.33      1188982.50
  1993          38            569278.83       596580.67      1165859.50
  1993          39            561998.33       582274.50      1144272.83
  1993          40            558060.17       574827.83      1132888.00
  1993          41            555182.83       571676.50      1126859.33
  1993          42            553974.33       570835.33      1124809.67
  1993          43            547937.83       567464.67      1115402.50
  1993          44            517936.00       540026.83      1057962.83
  1993          45            484826.00       505720.00       990546.00
  1993          46            445234.83       463442.00       908676.83
  1993          47            396992.00       410510.50       807502.50
  1993          48            439241.17       451524.00       890765.17
  1993          49            506929.33       523491.50      1030420.83
  1993          50            504797.67       522992.83      1027790.50
  1993          51            552905.17       570169.67      1123074.83
  1993          52            626678.33       642421.67      1269100.00
  1993          53            642281.83       655061.00      1297342.83
  1993          54            618894.33       628277.67      1247172.00
  1993          55            581804.00       587837.50      1169641.50
