West Germany, Exposure to risk (period 1x1), 	Last modified: 29 Mar 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1956           0            393737.87       414829.51       808567.38
  1956           1            380209.00       399542.67       779751.67
  1956           2            375016.34       392568.33       767584.67
  1956           3            371078.33       389235.67       760314.00
  1956           4            370933.83       388972.67       759906.50
  1956           5            371686.17       389424.67       761110.83
  1956           6            375859.33       393890.33       769749.67
  1956           7            368868.17       386420.17       755288.33
  1956           8            349622.17       365225.67       714847.83
  1956           9            327858.50       340781.17       668639.67
  1956          10            293086.50       302466.50       595553.00
  1956          11            317704.17       327684.50       645388.67
  1956          12            369862.00       383421.67       753283.67
  1956          13            370924.17       385184.33       756108.50
  1956          14            409644.67       425249.50       834894.17
  1956          15            472718.67       489556.83       962275.50
  1956          16            491772.83       507136.33       998909.17
  1956          17            476275.50       491725.17       968000.67
  1956          18            450724.67       468863.00       919587.67
  1956          19            439465.17       458902.33       898367.50
  1956          20            436661.17       457846.84       894508.00
  1956          21            422149.67       443843.34       865993.00
  1956          22            373039.17       390795.00       763834.17
  1956          23            338836.17       353753.00       692589.17
  1956          24            348155.83       363325.84       711481.67
  1956          25            368647.17       385379.00       754026.17
  1956          26            381396.83       397820.67       779217.50
  1956          27            383422.67       399851.67       783274.33
  1956          28            383517.00       386093.84       769610.84
  1956          29            388144.50       357564.50       745709.00
  1956          30            410264.67       346529.50       756794.17
  1956          31            418080.50       325095.67       743176.17
  1956          32            414774.50       304775.00       719549.50
  1956          33            427701.50       315131.17       742832.67
  1956          34            451568.33       332915.83       784484.17
  1956          35            469468.83       340178.33       809647.17
  1956          36            418666.50       302043.33       720709.83
  1956          37            304889.50       221963.33       526852.83
  1956          38            241413.17       177788.83       419202.00
  1956          39            249271.50       184341.83       433613.33
  1956          40            306042.83       224452.50       530495.33
  1956          41            397750.83       289935.50       687686.33
  1956          42            449271.50       332547.00       781818.50
  1956          43            457541.00       348340.67       805881.67
  1956          44            452099.00       348755.67       800854.67
  1956          45            451057.67       348562.83       799620.50
  1956          46            464560.50       362344.83       826905.33
  1956          47            466789.50       369778.67       836568.17
  1956          48            457862.17       371168.33       829030.50
  1956          49            447906.67       369882.17       817788.83
  1956          50            437447.00       374404.17       811851.17
  1956          51            427572.33       380101.17       807673.50
  1956          52            416660.00       370288.17       786948.16
  1956          53            410307.00       363839.83       774146.83
  1956          54            406434.33       360096.83       766531.16
