Northern Ireland, Exposure to risk (period 1x1)     Last modified: 29-Jan-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
   1922        0        13897.85     14329.17     28227.02 
   1922        1        13524.82     13865.22     27390.03 
   1922        2        12893.60     13326.75     26220.35 
   1922        3        11604.94     11996.16     23601.10 
   1922        4        10624.49     10855.41     21479.91 
   1922        5        10612.01     10821.67     21433.68 
   1922        6        11103.86     11364.82     22468.68 
   1922        7        11719.38     11906.51     23625.90 
   1922        8        12061.31     12162.98     24224.29 
   1922        9        12157.80     12193.75     24351.56 
   1922       10        12181.24     12261.86     24443.10 
   1922       11        12153.69     12290.17     24443.86 
   1922       12        12085.50     11982.03     24067.53 
   1922       13        12171.68     11759.32     23931.00 
   1922       14        12333.69     11813.08     24146.78 
   1922       15        12221.75     11727.83     23949.58 
   1922       16        11984.27     11451.89     23436.17 
   1922       17        11683.79     11171.27     22855.06 
   1922       18        11412.95     10803.70     22216.65 
   1922       19        11249.37     10245.41     21494.77 
   1922       20        11153.43      9818.64     20972.07 
   1922       21        11319.48      9921.76     21241.24 
   1922       22        11249.79      9906.68     21156.47 
   1922       23        10810.34      9379.32     20189.66 
   1922       24        10621.36      8979.53     19600.89 
   1922       25        10551.56      8809.68     19361.24 
   1922       26        10488.90      8755.86     19244.75 
   1922       27         9494.30      8087.66     17581.95 
   1922       28         8620.79      7532.30     16153.09 
   1922       29         8449.80      7378.62     15828.42 
   1922       30         8299.34      7208.73     15508.07 
   1922       31         8645.46      7504.08     16149.53 
   1922       32         8606.69      7386.48     15993.17 
   1922       33         8266.31      6985.86     15252.17 
   1922       34         8368.83      7129.68     15498.52 
   1922       35         8618.66      7409.24     16027.89 
   1922       36         8891.91      7673.38     16565.29 
   1922       37         7890.87      6914.00     14804.88 
   1922       38         7115.43      6228.58     13344.01 
   1922       39         7325.62      6351.25     13676.87 
   1922       40         7154.48      6465.83     13620.31 
   1922       41         7681.06      7192.16     14873.22 
   1922       42         7742.95      7116.66     14859.61 
   1922       43         7313.40      6558.53     13871.93 
   1922       44         7499.02      6727.76     14226.78 
   1922       45         7846.15      7186.11     15032.26 
   1922       46         8248.77      7821.32     16070.10 
   1922       47         7139.25      6925.75     14065.00 
   1922       48         6201.60      6028.23     12229.82 
   1922       49         6565.77      6351.05     12916.82 
   1922       50         6635.79      6442.87     13078.66 
   1922       51         6776.18      6664.07     13440.25 
   1922       52         6464.04      6407.43     12871.47 
   1922       53         5848.56      5648.34     11496.91 
   1922       54         5679.71      5363.25     11042.96 
   1922       55         5818.38      5520.88     11339.26 
   1922       56         5946.86      5773.65     11720.51 
   1922       57         5145.04      5075.01     10220.05 
   1922       58         4458.11      4306.14      8764.26 
   1922       59         4692.14      4392.27      9084.41 
   1922       60         4788.58      4404.34      9192.92 
   1922       61         5142.66      4740.89      9883.55 
   1922       62         4826.70      4520.33      9347.03 
   1922       63         4237.22      3961.71      8198.93 
   1922       64         4367.80      4029.39      8397.20 
   1922       65         4629.30      4194.53      8823.83 
   1922       66         4781.83      4092.59      8874.42 
   1922       67         4528.56      3686.95      8215.50 
   1922       68         4341.18      3432.36      7773.54 
   1922       69         4288.87      3326.70      7615.58 
   1922       70         3964.13      3074.86      7038.99 
