Greece, Exposure to risk (period 1x1)     Last modified: 25-Sep-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1981        0        79217.69     85382.07    164599.75 
   1981        1        78352.82     83572.18    161925.00 
   1981        2        71599.49     75704.46    147303.95 
   1981        3        70861.27     75064.17    145925.44 
   1981        4        72270.60     76137.87    148408.47 
   1981        5        73248.34     77758.02    151006.36 
   1981        6        73442.51     77733.19    151175.70 
   1981        7        72736.56     76337.52    149074.08 
   1981        8        72176.97     76121.65    148298.62 
   1981        9        72975.35     76518.93    149494.28 
   1981       10        73593.27     77152.62    150745.89 
   1981       11        75043.04     79191.26    154234.29 
   1981       12        76613.18     81059.94    157673.13 
   1981       13        78091.78     82174.00    160265.78 
   1981       14        76769.30     80987.78    157757.08 
   1981       15        74100.03     78655.34    152755.37 
   1981       16        72274.43     76081.46    148355.88 
   1981       17        70271.25     72458.44    142729.70 
   1981       18        69549.36     70431.91    139981.26 
   1981       19        69680.26     72215.37    141895.63 
   1981       20        71489.34     74335.87    145825.22 
   1981       21        71977.30     73047.26    145024.56 
   1981       22        70314.88     70463.62    140778.49 
   1981       23        69832.48     68916.67    138749.15 
   1981       24        70419.27     68329.84    138749.12 
   1981       25        70210.90     67867.47    138078.37 
   1981       26        67894.96     66922.10    134817.05 
   1981       27        65121.20     65273.36    130394.56 
   1981       28        65230.38     65520.16    130750.54 
   1981       29        66299.21     66613.98    132913.18 
   1981       30        65197.37     65711.45    130908.82 
   1981       31        62126.75     61989.06    124115.81 
   1981       32        62995.45     60783.44    123778.89 
   1981       33        68208.68     64919.92    133128.60 
   1981       34        70539.07     67908.19    138447.26 
   1981       35        68831.64     66105.21    134936.85 
   1981       36        62617.00     59988.42    122605.42 
   1981       37        54175.18     53042.13    107217.31 
   1981       38        51105.14     50074.57    101179.71 
   1981       39        54640.90     51712.45    106353.35 
   1981       40        63710.76     58770.13    122480.89 
   1981       41        67767.88     63187.07    130954.95 
   1981       42        66083.48     61896.84    127980.32 
   1981       43        67161.98     62229.27    129391.25 
   1981       44        69550.48     63696.10    133246.57 
   1981       45        72318.83     66541.41    138860.24 
   1981       46        70401.17     67073.21    137474.38 
