Croatia, Exposure to risk (period 1x1)     Last modified: 21-Apr-2017, MPv5 (May07)

   Year      Age       Female          Male         Total
   2002        0        19406.17     20374.34     39780.51 
   2002        1        20217.50     21363.33     41580.83 
   2002        2        21213.33     22397.33     43610.67 
   2002        3        22258.50     23330.17     45588.67 
   2002        4        23418.00     24462.33     47880.33 
   2002        5        24136.17     25460.67     49596.83 
   2002        6        23787.83     25202.50     48990.33 
   2002        7        23418.67     24325.50     47744.17 
   2002        8        23390.33     24337.50     47727.83 
   2002        9        22917.83     24136.50     47054.33 
   2002       10        23531.83     24846.50     48378.33 
   2002       11        24474.50     25666.00     50140.50 
   2002       12        24510.83     25547.17     50058.00 
   2002       13        24916.50     26125.83     51042.33 
   2002       14        25308.00     26537.83     51845.83 
   2002       15        25579.33     26583.17     52162.50 
   2002       16        26336.17     27281.00     53617.17 
   2002       17        27232.50     28453.00     55685.50 
   2002       18        27480.67     28806.83     56287.50 
   2002       19        27522.33     28750.17     56272.50 
   2002       20        27814.17     29085.50     56899.67 
   2002       21        28130.83     29635.00     57765.83 
   2002       22        28418.00     30043.33     58461.33 
   2002       23        28247.50     29641.83     57889.33 
   2002       24        27940.83     29247.17     57188.00 
   2002       25        27975.33     28911.83     56887.17 
   2002       26        27807.33     28478.33     56285.67 
   2002       27        27580.83     28284.33     55865.17 
   2002       28        27664.33     28080.50     55744.83 
   2002       29        27770.17     28075.00     55845.17 
   2002       30        27790.17     28211.17     56001.33 
   2002       31        27176.17     27529.50     54705.67 
   2002       32        27240.83     27370.17     54611.00 
   2002       33        28216.83     28157.17     56374.00 
   2002       34        29010.83     28994.00     58004.83 
   2002       35        30288.33     30166.17     60454.50 
   2002       36        31153.83     30966.00     62119.83 
   2002       37        30675.33     30526.17     61201.50 
   2002       38        30302.00     30137.17     60439.17 
   2002       39        30914.83     30658.83     61573.67 
   2002       40        31849.33     31439.33     63288.67 
   2002       41        32491.17     32114.83     64606.00 
   2002       42        32722.33     32564.83     65287.17 
   2002       43        32656.83     32663.00     65319.83 
   2002       44        32447.00     32434.83     64881.83 
   2002       45        33268.50     33183.50     66452.00 
   2002       46        33904.83     34090.33     67995.16 
   2002       47        33263.00     34555.67     67818.67 
   2002       48        32652.00     33951.17     66603.17 
   2002       49        32268.67     32703.83     64972.50 
   2002       50        30859.83     31171.17     62031.00 
   2002       51        30526.83     30567.00     61093.83 
   2002       52        31419.33     30620.33     62039.67 
   2002       53        30380.83     28816.33     59197.17 
   2002       54        29146.83     27222.00     56368.83 
   2002       55        27901.67     25568.83     53470.50 
   2002       56        23749.33     21403.50     45152.83 
   2002       57        21612.83     19328.00     40940.83 
   2002       58        23926.33     21037.33     44963.67 
   2002       59        26381.33     23213.00     49594.33 
   2002       60        26912.00     23557.50     50469.50 
   2002       61        27095.00     23437.83     50532.83 
   2002       62        27926.17     24018.67     51944.83 
   2002       63        28110.83     23617.00     51727.83 
   2002       64        28598.00     23674.67     52272.67 
   2002       65        28880.67     23640.67     52521.33 
   2002       66        28588.17     22974.17     51562.33 
   2002       67        28366.00     22405.00     50771.00 
   2002       68        28412.50     21763.83     50176.33 
   2002       69        28357.50     20719.00     49076.50 
   2002       70        27735.67     19690.33     47426.00 
   2002       71        27025.17     19060.50     46085.66 
   2002       72        25412.33     17676.17     43088.50 
   2002       73        23473.17     15763.34     39236.51 
   2002       74        21946.00     13839.84     35785.84 
   2002       75        20998.00     12065.84     33063.84 
   2002       76        20306.17     10495.00     30801.17 
   2002       77        19117.83      9065.17     28183.00 
   2002       78        17827.00      8129.17     25956.17 
   2002       79        16298.83      7174.34     23473.17 
   2002       80        15077.34      6245.58     21322.92 
   2002       81        13486.20      5390.07     18876.27 
   2002       82        11110.13      4558.41     15668.54 
   2002       83         6921.07      2874.98      9796.05 
   2002       84         3861.13      1573.66      5434.79 
   2002       85         3289.11      1293.83      4582.94 
   2002       86         3436.65      1356.83      4793.49 
   2002       87         4365.58      1730.22      6095.80 
   2002       88         4289.02      1671.91      5960.93 
   2002       89         3518.40      1286.55      4804.96 
   2002       90         2740.94       926.51      3667.45 
   2002       91         2024.12       664.74      2688.86 
   2002       92         1546.83       514.31      2061.13 
   2002       93         1088.82       359.13      1447.95 
   2002       94          757.63       231.58       989.21 
   2002       95          533.76       152.72       686.48 
   2002       96          336.73        91.86       428.59 
   2002       97          191.03        58.86       249.89 
   2002       98          111.02        32.68       143.70 
   2002       99           67.34        15.84        83.19 
   2002      100           34.84         9.33        44.18 
