Israel, Total Population, Exposure to risk (period 1x1)     Last modified: 30-Oct-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1983        0        47065.53     49839.00     96904.52 
   1983        1        45414.66     48143.03     93557.69 
   1983        2        44615.53     47317.25     91932.78 
   1983        3        44515.61     47111.16     91626.77 
   1983        4        44176.06     46568.83     90744.89 
   1983        5        44463.80     46845.62     91309.42 
   1983        6        45658.58     48302.89     93961.46 
   1983        7        46109.60     48456.06     94565.65 
   1983        8        44709.56     46996.04     91705.60 
   1983        9        43212.72     45425.78     88638.50 
   1983       10        41767.51     43852.08     85619.59 
   1983       11        41185.78     43263.02     84448.80 
   1983       12        40710.26     42918.09     83628.35 
   1983       13        38843.53     41031.56     79875.09 
   1983       14        37136.51     39084.51     76221.02 
   1983       15        35328.52     37432.51     72761.03 
   1983       16        34470.78     36884.04     71354.82 
   1983       17        34738.25     37881.56     72619.81 
   1983       18        34211.04     37667.54     71878.59 
   1983       19        33176.03     36209.87     69385.90 
   1983       20        32317.83     34691.97     67009.80 
   1983       21        31809.55     33576.74     65386.28 
   1983       22        32293.55     33783.80     66077.36 
   1983       23        32628.50     33557.98     66186.48 
   1983       24        32261.08     32613.11     64874.19 
   1983       25        32224.35     32363.58     64587.93 
   1983       26        32208.02     32155.51     64363.53 
   1983       27        32396.12     32253.81     64649.93 
   1983       28        32062.55     31968.42     64030.97 
   1983       29        32316.10     31953.49     64269.59 
   1983       30        33130.59     32682.67     65813.26 
   1983       31        32854.35     32779.26     65633.60 
   1983       32        32245.61     32253.98     64499.59 
   1983       33        29885.36     29639.68     59525.04 
   1983       34        28379.09     27650.67     56029.75 
   1983       35        29590.59     28642.17     58232.76 
   1983       36        29030.56     28238.42     57268.97 
   1983       37        25745.35     25179.68     50925.03 
   1983       38        22199.31     21848.13     44047.44 
   1983       39        19715.60     19340.31     39055.91 
   1983       40        18378.28     17597.37     35975.65 
   1983       41        17103.37     16682.08     33785.45 
   1983       42        17354.42     17003.16     34357.57 
   1983       43        17846.36     17210.90     35057.26 
   1983       44        17827.87     17223.87     35051.74 
   1983       45        18248.62     17283.58     35532.21 
   1983       46        18396.87     17419.41     35816.28 
   1983       47        18199.26     17443.42     35642.67 
   1983       48        17399.64     16515.65     33915.29 
   1983       49        17239.93     16135.43     33375.37 
   1983       50        17871.57     16304.46     34176.03 
   1983       51        16960.67     15604.50     32565.17 
   1983       52        16892.88     15642.05     32534.93 
   1983       53        17284.53     15517.75     32802.28 
   1983       54        16876.62     14868.88     31745.49 
   1983       55        17062.83     14760.63     31823.46 
   1983       56        16786.82     14142.11     30928.92 
   1983       57        17461.05     14120.67     31581.72 
   1983       58        18028.76     14519.24     32548.00 
   1983       59        17971.70     14694.85     32666.56 
   1983       60        17328.58     14932.72     32261.29 
   1983       61        15329.81     14611.61     29941.42 
   1983       62        15392.56     14709.02     30101.59 
   1983       63        15088.32     13663.10     28751.42 
   1983       64        13120.55     11237.15     24357.70 
   1983       65        11574.88      9866.23     21441.11 
   1983       66        10749.45      9426.06     20175.51 
   1983       67        12224.95     10248.68     22473.63 
   1983       68        14149.49     11690.48     25839.98 
   1983       69        14434.54     12067.81     26502.35 
   1983       70        14101.92     11739.47     25841.39 
   1983       71        12575.18     11599.23     24174.41 
   1983       72        12311.14     11829.75     24140.90 
   1983       73        12061.43     10963.48     23024.91 
   1983       74        10415.91      9427.84     19843.75 
   1983       75         9383.75      8658.81     18042.56 
   1983       76         7573.05      7683.80     15256.85 
   1983       77         7084.48      7023.81     14108.29 
