Italy, Exposure to risk (period 1x1), 	Last modified: 24 Apr 2017, MPv5 (May07)

  Year          Age             Female            Male           Total
  1872           0            400787.55       417426.99       818214.55
  1872           1            275751.35       282284.68       558036.03
  1872           2            272031.49       282102.58       554134.06
  1872           3            300748.48       311450.59       612199.06
  1872           4            293208.24       300009.18       593217.41
  1872           5            292737.15       300103.52       592840.66
  1872           6            293369.92       304000.40       597370.32
  1872           7            293480.43       300957.61       594438.04
  1872           8            290633.99       299152.05       589786.03
  1872           9            271839.26       281337.32       553176.58
  1872          10            273372.23       278402.98       551775.21
  1872          11            259342.31       267013.17       526355.49
  1872          12            262542.84       274923.05       537465.89
  1872          13            265873.38       277812.26       543685.63
  1872          14            253516.52       262352.06       515868.57
  1872          15            258468.39       259444.59       517912.99
  1872          16            254769.02       248368.53       503137.54
  1872          17            244272.23       233737.20       478009.42
  1872          18            253619.90       234352.04       487971.93
  1872          19            242501.54       224035.77       466537.31
  1872          20            253303.04       231484.37       484787.41
  1872          21            243794.63       249284.15       493078.78
  1872          22            221860.29       239038.65       460898.94
  1872          23            224076.08       226013.19       450089.27
  1872          24            221701.55       213173.59       434875.14
  1872          25            231584.82       211236.36       442821.18
  1872          26            228036.07       219072.69       447108.75
  1872          27            212595.23       212962.81       425558.03
  1872          28            213852.56       210018.42       423870.98
  1872          29            186580.75       187667.04       374247.80
  1872          30            237936.68       219767.47       457704.15
  1872          31            223277.77       213257.97       436535.74
  1872          32            162648.76       173147.45       335796.21
  1872          33            169276.55       175207.91       344484.47
  1872          34            164260.59       169617.84       333878.43
  1872          35            186958.68       182141.28       369099.95
  1872          36            193853.09       189168.55       383021.64
  1872          37            167112.16       170886.41       337998.57
  1872          38            159128.23       163153.11       322281.35
  1872          39            139461.17       143833.57       283294.73
  1872          40            224506.83       212389.18       436896.02
  1872          41            212418.01       206737.37       419155.38
  1872          42            132216.85       143177.44       275394.29
  1872          43            133277.32       140718.17       273995.49
  1872          44            128187.40       132350.17       260537.57
  1872          45            160191.36       159271.88       319463.24
  1872          46            157672.84       158840.59       316513.42
  1872          47            128113.19       132792.13       260905.32
  1872          48            129910.47       132929.91       262840.37
  1872          49            117982.87       122427.19       240410.06
  1872          50            197468.10       189968.03       387436.13
  1872          51            184131.03       181902.11       366033.14
  1872          52            104615.55       117807.90       222423.45
  1872          53             99960.95       110449.97       210410.91
  1872          54             92974.37        98156.02       191130.39
  1872          55            105624.08       105678.65       211302.73
  1872          56            103097.65       105026.84       208124.49
  1872          57             84084.82        89413.29       173498.11
  1872          58             79604.54        84756.77       164361.31
  1872          59             70869.38        75465.57       146334.95
  1872          60            144366.15       131634.98       276001.13
  1872          61            136179.63       128224.71       264404.34
  1872          62             65492.98        75453.56       140946.53
  1872          63             64540.71        72306.30       136847.00
  1872          64             61921.25        67226.16       129147.42
  1872          65             72925.89        74535.33       147461.21
  1872          66             68226.97        70861.36       139088.33
  1872          67             51258.68        57601.04       108859.72
  1872          68             45545.36        50739.33        96284.69
  1872          69             38299.97        41888.05        80188.02
  1872          70             50181.87        50027.23       100209.10
  1872          71             45546.20        45659.76        91205.96
  1872          72             41617.73        41680.36        83298.10
  1872          73             37473.36        37488.85        74962.21
  1872          74             33461.51        33443.98        66905.49
  1872          75             29495.04        29575.18        59070.22
  1872          76             25696.68        25922.86        51619.53
  1872          77             22353.98        22605.31        44959.29
  1872          78             19409.20        19604.83        39014.03
  1872          79             16514.62        16765.84        33280.46
  1872          80             13734.78        14119.60        27854.38
  1872          81             11373.59        11801.44        23175.02
  1872          82              9366.11         9783.17        19149.29
  1872          83              7599.16         8018.76        15617.92
  1872          84              6073.00         6482.71        12555.71
  1872          85              4769.62         5158.93         9928.54
  1872          86              3671.02         4043.03         7714.04
  1872          87              2772.51         3119.18         5891.69
  1872          88              2064.79         2369.76         4434.55
  1872          89              1514.63         1776.46         3291.09
  1872          90              1087.25         1309.91         2397.16
  1872          91               770.04          947.69         1717.73
  1872          92               538.09          674.56         1212.65
  1872          93               366.26          472.46          838.72
  1872          94               244.39          325.10          569.49
  1872          95               159.26          219.23          378.49
  1872          96               101.07          145.24          246.31
  1872          97                63.21           94.60          157.81
  1872          98                38.62           60.55           99.17
  1872          99                23.18           37.96           61.13
  1872         100                13.42           22.77           36.19
  1872         101                 7.35           13.23           20.58
  1872         102                 4.22            7.52           11.75
  1872         103                 2.39            3.97            6.36
  1872         104                 0.94            1.95            2.88
  1872         105                 0.18            0.86            1.03
  1872         106                 0.00            0.32            0.32
  1872         107                 0.00            0.04            0.04
  1872         108                 0.26            0.00            0.26
  1872         109                 0.50            0.00            0.50
  1872         110+                0.25            0.00            0.25
  1873           0            424812.26       447113.00       871925.26
  1873           1            339279.74       348495.32       687775.06
  1873           2            255116.74       261181.13       516297.87
  1873           3            257792.94       267385.19       525178.13
  1873           4            288538.76       299022.75       587561.51
  1873           5            284875.07       291948.97       576824.03
  1873           6            286485.65       293257.12       579742.77
  1873           7            289062.01       297775.54       586837.55
  1873           8            289972.75       295896.62       585869.37
  1873           9            288012.63       294937.35       582949.98
  1873          10            271115.88       278890.26       550006.15
  1873          11            272224.59       276131.64       548356.23
  1873          12            259104.90       265520.67       524625.56
  1873          13            261712.69       272366.47       534079.16
