Russia, Exposure to risk (period 1x1)     Last modified: 11-Nov-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1959        0      1343419.84   1401397.08   2744816.92 
   1959        1      1312849.96   1362559.90   2675409.86 
   1959        2      1290424.96   1342010.66   2632435.61 
   1959        3      1297706.98   1348033.69   2645740.67 
   1959        4      1324963.60   1374211.23   2699174.84 
   1959        5      1275536.51   1320544.51   2596081.02 
   1959        6      1240348.02   1284121.87   2524469.90 
   1959        7      1240123.10   1282570.54   2522693.64 
   1959        8      1206226.51   1244127.61   2450354.12 
   1959        9      1224124.63   1264936.14   2489060.78 
   1959       10      1119983.44   1157174.54   2277157.98 
   1959       11      1077183.04   1105824.04   2183007.07 
   1959       12      1004493.38   1032618.49   2037111.87 
   1959       13       786572.81    812918.01   1599490.82 
   1959       14       515964.62    533963.28   1049927.90 
   1959       15       432303.73    445028.59    877332.32 
   1959       16       525118.67    528130.84   1053249.50 
   1959       17       845921.46    837233.35   1683154.81 
   1959       18      1109462.71   1098391.11   2207853.81 
   1959       19      1197629.23   1217042.62   2414671.85 
   1959       20      1311638.82   1332164.16   2643802.98 
   1959       21      1329234.77   1347950.36   2677185.13 
   1959       22      1234973.30   1245343.38   2480316.69 
   1959       23      1095931.19   1095766.87   2191698.06 
   1959       24       943467.43    948256.30   1891723.73 
   1959       25       878056.08    870137.35   1748193.43 
   1959       26       965088.34    944251.18   1909339.52 
   1959       27      1032929.29   1016968.59   2049897.89 
   1959       28      1126900.87   1119067.20   2245968.07 
   1959       29      1198375.07   1172757.46   2371132.54 
   1959       30      1288475.94   1216545.43   2505021.37 
   1959       31      1273861.28   1194309.37   2468170.65 
   1959       32      1213448.24   1080675.71   2294123.94 
   1959       33      1190254.02    941477.69   2131731.71 
   1959       34      1102486.05    778648.23   1881134.28 
   1959       35      1048744.40    678851.02   1727595.42 
   1959       36       931343.60    570215.79   1501559.39 
   1959       37       776222.08    478500.47   1254722.55 
   1959       38       713207.55    454346.08   1167553.62 
   1959       39       685132.50    436588.19   1121720.69 
   1959       40       757002.41    478244.79   1235247.19 
   1959       41       693584.62    443781.85   1137366.47 
   1959       42       602660.40    381092.79    983753.18 
   1959       43       726679.03    442942.80   1169621.82 
   1959       44       876382.11    524087.33   1400469.44 
   1959       45       948005.44    569855.83   1517861.27 
   1959       46       948518.14    567371.54   1515889.68 
   1959       47       903300.29    538533.10   1441833.39 
   1959       48       913713.17    537597.98   1451311.15 
   1959       49       869112.15    509639.82   1378751.97 
   1959       50       815463.35    476876.60   1292339.95 
   1959       51       797473.77    461513.50   1258987.27 
   1959       52       752205.45    440243.90   1192449.34 
   1959       53       733723.79    417835.51   1151559.30 
   1959       54       712004.53    389587.06   1101591.58 
   1959       55       739340.39    373725.12   1113065.51 
   1959       56       724802.81    339076.95   1063879.76 
   1959       57       624153.56    276765.53    900919.08 
   1959       58       670006.66    275670.75    945677.41 
   1959       59       613708.40    272021.89    885730.30 
   1959       60       536560.67    249684.44    786245.12 
   1959       61       504052.02    235326.00    739378.02 
   1959       62       459932.45    226080.98    686013.44 
   1959       63       480016.41    231458.00    711474.41 
   1959       64       445340.41    216099.81    661440.22 
   1959       65       435814.34    209192.94    645007.28 
   1959       66       411644.79    195281.19    606925.98 
   1959       67       365217.56    169767.68    534985.24 
   1959       68       351405.72    160364.80    511770.52 
   1959       69       307806.54    137847.35    445653.89 
   1959       70       360406.64    145038.75    505445.39 
   1959       71       337989.81    141926.48    479916.28 
   1959       72       262009.93    117814.89    379824.82 
   1959       73       269063.37    113163.40    382226.76 
   1959       74       241838.23    101365.13    343203.35 
   1959       75       237958.66     95659.07    333617.73 
   1959       76       214644.60     84960.80    299605.40 
   1959       77       168525.70     67490.17    236015.88 
   1959       78       155067.33     61625.47    216692.80 
   1959       79       126979.15     52211.09    179190.24 
   1959       80       112658.89     43566.68    156225.57 
   1959       81        97033.15     36727.89    133761.05 
   1959       82        85571.82     32196.37    117768.19 
   1959       83        73382.27     26837.24    100219.51 
   1959       84        62895.17     22416.77     85311.93 
   1959       85        52486.89     18698.78     71185.68 
   1959       86        43286.84     15345.80     58632.64 
   1959       87        35063.48     12184.08     47247.57 
   1959       88        29492.34      9997.75     39490.09 
   1959       89        24781.62      8234.74     33016.36 
   1959       90        17951.71      5681.10     23632.81 
   1959       91        13359.61      3938.26     17297.87 
   1959       92        10992.15      3211.57     14203.72 
   1959       93         8648.70      2551.91     11200.61 
   1959       94         7391.92      2177.00      9568.92 
   1959       95         6244.98      1848.19      8093.17 
   1959       96         4798.24      1420.07      6218.31 
   1959       97         3589.50      1073.47      4662.97 
   1959       98         2700.84       803.76      3504.60 
   1959       99         1981.27       576.79      2558.07 
   1959      100         1479.33       430.38      1909.71 
   1959      101         1094.93       319.16      1414.09 
   1959      102          803.18       235.31      1038.49 
   1959      103          583.89       172.21       756.10 
   1959      104          420.66       124.99       545.66 
   1959      105          300.27        90.29       390.56 
   1959      106          212.31        64.87       277.18 
   1959      107          148.64        46.17       194.81 
   1959      108          103.05        32.59       135.64 
   1959      109           70.67        22.97        93.64 
   1959      110+         137.65        46.55       184.20 
   1960        0      1326109.75   1387204.89   2713314.64 
   1960        1      1304398.18   1354876.33   2659274.51 
   1960        2      1295263.16   1344928.04   2640191.20 
   1960        3      1288829.41   1340090.08   2628919.49 
   1960        4      1294580.26   1344497.57   2639077.84 
   1960        5      1321295.51   1369313.54   2690609.06 
   1960        6      1278488.56   1322900.16   2601388.72 
   1960        7      1234464.41   1279284.61   2513749.01 
   1960        8      1228318.68   1271965.16   2500283.84 
   1960        9      1200905.61   1244819.97   2445725.58 
   1960       10      1196038.68   1243477.17   2439515.84 
   1960       11      1158007.37   1203163.20   2361170.57 
   1960       12      1057797.55   1087544.86   2145342.40 
