Taiwan, Exposure to risk (period 1x1)     Last modified: 13-Jul-2016, MPv5 (May07)

   Year      Age       Female          Male         Total
   1970        0       179993.78    191009.96    371003.74 
   1970        1       186893.67    196801.47    383695.14 
   1970        2       183324.32    193512.23    376836.55 
   1970        3       187260.62    199334.12    386594.74 
   1970        4       195669.43    208042.47    403711.90 
   1970        5       199704.98    209363.64    409068.62 
   1970        6       204500.29    213412.69    417912.99 
   1970        7       204779.19    215579.33    420358.52 
   1970        8       203498.91    213279.23    416778.14 
   1970        9       201396.62    212261.46    413658.08 
   1970       10       198042.49    211314.00    409356.50 
   1970       11       195913.73    205183.39    401097.11 
   1970       12       190392.87    197268.23    387661.11 
   1970       13       187287.52    196407.80    383695.32 
   1970       14       187787.33    199404.38    387191.71 
   1970       15       181274.66    193157.57    374432.23 
   1970       16       173451.15    183543.03    356994.18 
   1970       17       169220.88    178344.87    347565.75 
   1970       18       168974.70    178215.48    347190.18 
   1970       19       157978.24    165210.02    323188.26 
   1970       20       140120.83    144159.02    284279.85 
   1970       21       125012.48    129506.22    254518.70 
   1970       22       108509.56    115251.69    223761.25 
   1970       23        93242.97     98384.25    191627.21 
   1970       24        80940.94     83794.66    164735.60 
   1970       25        84278.97     85977.80    170256.77 
   1970       26        91882.12     94050.99    185933.11 
   1970       27        92257.19     94647.28    186904.47 
   1970       28        92474.81     93582.71    186057.51 
   1970       29        94021.77     94719.37    188741.14 
   1970       30        93832.70     93958.56    187791.26 
   1970       31        90009.41     90288.88    180298.29 
   1970       32        86730.76     86244.92    172975.68 
   1970       33        85704.45     84661.46    170365.91 
   1970       34        85947.65     85151.32    171098.97 
   1970       35        83903.60     86071.20    169974.79 
   1970       36        78872.60     87610.12    166482.72 
   1970       37        76634.69     89806.29    166440.99 
   1970       38        76318.52     94689.62    171008.14 
   1970       39        75006.88    100413.40    175420.28 
   1970       40        72166.29    101548.01    173714.31 
   1970       41        70124.14     99803.57    169927.71 
   1970       42        67693.45     99188.72    166882.17 
   1970       43        64397.79     97163.36    161561.15 
   1970       44        62013.19     94366.24    156379.42 
   1970       45        58251.64     89231.93    147483.58 
   1970       46        55334.22     81338.77    136673.00 
   1970       47        55167.02     77323.23    132490.25 
